label,i_max,t_max,threads,time_sec,normalized
results_test_dynamic1k,1000,8388608,4,23.138200,2.758288383e-09
results_test_dynamic1k,1000,8388608,6,27.524400,3.281164169e-09
results_test_dynamic1k,1000,8388608,8,30.330100,3.615629673e-09
results_test_dynamic1k,1000,8388608,12,75.012400,8.942174911e-09
results_test_dynamic1k,1000,8388608,14,85.105900,1.014541388e-08
results_test_dynamic1k,1000,8388608,16,92.197800,1.099083424e-08
results_test_dynamic1k,1000,8388608,32,87.987100,1.048887968e-08
results_test_dynamic1k,10000,1048576,1,17.130700,1.633710861e-09
results_test_dynamic1k,10000,1048576,2,17.923100,1.709280014e-09
results_test_dynamic1k,10000,1048576,4,19.296600,1.840267181e-09
results_test_dynamic1k,10000,1048576,6,20.974100,2.000246048e-09
results_test_dynamic1k,10000,1048576,8,22.051800,2.103023529e-09
results_test_dynamic1k,10000,1048576,12,26.087900,2.487936020e-09
results_test_dynamic1k,10000,1048576,14,27.196400,2.593650818e-09
results_test_dynamic1k,10000,1048576,16,28.074700,2.677412033e-09
results_test_dynamic1k,10000,1048576,32,30.133600,2.873764038e-09
results_test_dynamic1k,50000,131072,1,10.952800,1.671264648e-09
results_test_dynamic1k,50000,131072,2,7.121660,1.086679077e-09
results_test_dynamic1k,50000,131072,4,3.923440,5.986694336e-10
results_test_dynamic1k,50000,131072,6,4.479610,6.835342407e-10
results_test_dynamic1k,50000,131072,8,4.644480,7.086914062e-10
results_test_dynamic1k,50000,131072,12,4.949450,7.552261353e-10
results_test_dynamic1k,50000,131072,14,5.293840,8.077758789e-10
results_test_dynamic1k,50000,131072,16,5.395380,8.232696533e-10
results_test_dynamic1k,50000,131072,32,9.470810,1.445130920e-09
results_test_dynamic1k,100000,65536,1,10.563300,1.611831665e-09
results_test_dynamic1k,100000,65536,2,5.665200,8.644409180e-10
results_test_dynamic1k,100000,65536,4,3.970460,6.058441162e-10
results_test_dynamic1k,100000,65536,6,2.414740,3.684600830e-10
results_test_dynamic1k,100000,65536,8,2.434400,3.714599609e-10
results_test_dynamic1k,100000,65536,12,2.891620,4.412261963e-10
results_test_dynamic1k,100000,65536,14,2.769690,4.226211548e-10
results_test_dynamic1k,100000,65536,16,2.795830,4.266098022e-10
results_test_dynamic1k,100000,65536,32,4.804730,7.331436157e-10
results_test_dynamic1k,1000000,8192,1,15.243000,1.860717773e-09
results_test_dynamic1k,1000000,8192,2,7.581220,9.254418945e-10
results_test_dynamic1k,1000000,8192,4,4.694890,5.731066895e-10
results_test_dynamic1k,1000000,8192,6,3.492040,4.262744141e-10
results_test_dynamic1k,1000000,8192,8,3.237210,3.951672363e-10
results_test_dynamic1k,1000000,8192,12,1.650360,2.014599609e-10
results_test_dynamic1k,1000000,8192,14,1.435200,1.751953125e-10
results_test_dynamic1k,1000000,8192,16,1.209200,1.476074219e-10
results_test_dynamic1k,1000000,8192,32,1.154790,1.409655762e-10
results_test_dynamic1k,5000000,1024,1,10.608500,2.071972656e-09
results_test_dynamic1k,5000000,1024,2,5.555220,1.085003906e-09
results_test_dynamic1k,5000000,1024,4,3.869890,7.558378906e-10
results_test_dynamic1k,5000000,1024,6,3.834860,7.489960937e-10
results_test_dynamic1k,5000000,1024,8,3.795060,7.412226562e-10
results_test_dynamic1k,5000000,1024,12,7.666990,1.497458984e-09
results_test_dynamic1k,5000000,1024,14,8.601450,1.679970703e-09
results_test_dynamic1k,5000000,1024,16,6.746350,1.317646484e-09
results_test_dynamic1k,5000000,1024,32,8.900150,1.738310547e-09
results_test_dynamic1k,10000000,512,1,10.565100,2.063496094e-09
results_test_dynamic1k,10000000,512,2,5.564040,1.086726562e-09
results_test_dynamic1k,10000000,512,4,3.927190,7.670292969e-10
results_test_dynamic1k,10000000,512,6,3.703450,7.233300781e-10
results_test_dynamic1k,10000000,512,8,3.675040,7.177812500e-10
results_test_dynamic1k,10000000,512,12,7.295190,1.424841797e-09
results_test_dynamic1k,10000000,512,14,7.802980,1.524019531e-09
results_test_dynamic1k,10000000,512,16,7.349020,1.435355469e-09
results_test_dynamic1k,10000000,512,32,8.055230,1.573287109e-09
results_test_dynamic1k,50000000,256,1,27.627500,2.158398438e-09
results_test_dynamic1k,50000000,256,2,14.912000,1.165000000e-09
results_test_dynamic1k,50000000,256,4,10.088400,7.881562500e-10
results_test_dynamic1k,50000000,256,6,9.135250,7.136914062e-10
results_test_dynamic1k,50000000,256,8,8.963680,7.002875000e-10
results_test_dynamic1k,50000000,256,12,10.424600,8.144218750e-10
results_test_dynamic1k,50000000,256,14,10.788100,8.428203125e-10
results_test_dynamic1k,50000000,256,16,10.865900,8.488984375e-10
results_test_dynamic1k,50000000,256,32,10.570000,8.257812500e-10
results_test_dynamic1k,100000000,256,1,58.218900,2.274175781e-09
results_test_dynamic1k,100000000,256,2,30.500700,1.191433594e-09
