N,steps,threads,raw_time,normalized_time
1000,1000,512,0.875355,8.75355e-07
10000,1000,512,0.899971,8.99971e-08
100000,1000,512,0.937039,9.37039e-09
1000000,1000,512,0.88981,8.8981e-10
10000000,1000,512,16.0464,1.13799e-08
